id_name,text,location,Label
x604349186,@khairul_hafidz Yg mati tu boleh jadi sbb alergi vaksin? Dengar berita td kata kritikal sbb kesan alergi.,,Positif
x3104611357,@EmillyLuwita46 Betina yg punya malu ... laknat sesungguhnya adalah tdk mau menggunakan nurani dan otak akibat asupan vaksin palsu,"Jakarta Pusat, DKI Jakarta",Negatif
x497537721,@kokoprakosa kw gelem di vaksin dap?,"Magelang, Jawa Tengah",Negatif
x896193683409616896,@LisaAmartatara3 @prabowo @Dahnilanzar Hiayyyaaah.. kayak gitu mah dr hati bukan paksaan cuy. Pantes vaksin Aja palsu gak pake hati kali ya?,,Positif
x1186751908318347264,"@FaroukSyahbana @uzy1502 @ernestprakasa @jokowi Bro +thinking ja kali dia pen liat para pejabat jd kelinci percobaan efek vaksin ntu bekerja or gak, klo gak berarti dead or jd malpraktek dll

(terlalu naif si gue maksa +think<U+0001F602> )

*sepertinya sih sesuai tweet ernest dia keknya salah satu ga percaya covid ada<U+0001F47F>",Magelang,Negatif
x1186751908318347264,"@uzy1502 @FaroukSyahbana @ernestprakasa @jokowi Maaf klo begitu saya missunderstanding<U+0001F64F><U+0001F64F><U+0001F64F>



Betul jgnkan untuk vaksin, yg efek virus ke orang ntu bisa 2macem dia kebal tapi bawa virus (carrier-&gt;sama bahayanya jg buat ke orang yg antibodi lemah) atau lgsg kena infeksi harus isolasi dll.

moga ibumu diberi kkuatan n sehat trs y",Magelang,Positif
x1242793288802783233,"Vaksin sinovac dari china efektifitas paling besar 97%... habis gini pasti ada yang koar"" ""TUHKAN EMANG CINA YANG BUAT CORONA""",,Negatif
x914501550482976770,Entah mekanismenya gimana tapi semoga gw dan keluarga kebagian vaksin,Jakarta,Positif
x83513327,Vaksin datang yg seolah2 diselebrasikan seperti musim dimana Liverpool masuk final liga champions,Indonesia,Positif
x406274466,@asnawi_0721 Tuan keta nk habaq dia bayaq pkai duit kaunter vaksin la tu. Hahah,"Kedah, Malaysia",Positif
x250298027,"@syawal untuk capai immuniti kelompok (herd immunity), kita sasar 60% populasi, tapi dinaikkan ke 70% untuk imbang antaranya keberkesanan vaksin (vaccine efficacy). 



30% termasuk kanak-kanak, wanita mengandung, ""immunocompromised"" dan lain-lain yang tak boleh divaksinasi.","Putrajaya, Malaysia",Positif
x1184797114431225856,@khairul_hafidz Cuba keluarkan berita antivax ada peluang 99% mati kalau tak ambik vaksin. Confirm senyap terus.,Malaysia,Positif
x529314967,"@ernestprakasa @jokowi setuju, toh di vaksin pun mereka gk akan mau..",indonesia,Negatif
x86218391,@sylvkartika Liat aja besok ada paling ada yg korup harga vaksin uganda itu,Pondok gede,Negatif
x126217345,@LisaAmartatara3 Ada jual vaksin palsu gk,,Negatif
x814785560,@qorygore Datengnya vaksin bisa buat gua jalan sambil gandengan gak?,Ujung aspal/pondok gede,Positif
x997552423211184128,"@4Y4NKZ Rijik bukan hal penting, sudah ditangani polisi.



Masih banyak hal lain :

Vaksin, pandemi, ibukota, mbangun Papua, bonus demografi, ekonomi, umkm, pendidikan, intolerasi, budaya. 



Hadeh, rijik diurusi polisi aja ya.",,Positif
x2660282089,@tempodotco Negara cerdas menyelesaikan covid tanpa vaksin.,Buittenyorg,Positif
x99082050,"Liat iklan Vaksin Untuk Kita, narasi videonya nampilan demo omnibus law, terus mrk bilang kita adalah garda terakhir, garda terdepan adalah masyarakat, mau bikin angkanya rendah/ tinggi. 

Woi! Garda terdepan itu regulasi, pembuat keputusannya aja plin-plan, yg disalahin kita.","YK, ID",Positif
x112361861,@fifisafitri_ Iya fi ini td bekasnya Hero dah tak desinfektan. Ada ni masih kecil baru 5 bulanan blm sempat vaksin,Indonesia,Positif
x1055468249121341440,"@LisaAmartatara3 @prabowo @Dahnilanzar Keliatannya masih belum move on, hatinya harus di kasih vaksin yg asli","Jakarta, Indonesia",Positif
x2704105058,@LisaAmartatara3 Vaksin sdh palsu ..berita jg palsu...hidupmu mana yg asli? Palsu semua,,Negatif
x1148291020490063872,"OLEH KARENA ITU TOLONG FIRALKAN VIDEO PENJELASAN TENTANG DAMPAK BAHAYANYA SETELAH ORANG DISUNTIK DENGAN VAKSIN COVID-19, JUSTRU AKAN MENGAKIBATKAN SEMAKIN MENGGANASNYA VIRUS COVID-19 YANG UJUNGNYA AKAN BISA MENGAKIBATKAN KEMATIAN KEPADA ORANG YANG TELAH DISUNTIK VAKSIN.","Bandung, Jawa Barat",Positif
x1148291020490063872,DEMI UNTUK MENYELAMATKAN NYAWA SELURUH RAKYAT INDONESIA KARENA PEMERINTAH SEBENTAR LAGI AKAN MEMERINTAHKAN SELURUH RAKYAT INDONESIA HARUS MENGIKUTI SUNTIKAN MASAL VAKSIN COVID -19.,"Bandung, Jawa Barat",Positif
x1227587268270968832,@LisaAmartatara3 Saya mau beli vaksin mbak..,,Positif
x1296419838093479938,@kochengfess Iya aku awalnya jg bingung kok cuma 2x vaksin. Ternyata rabies bukan termasuk vaksin wajib. Biasanya suka ada vaksin rabies gratis nder atau bisa ke puskeswan lebih murah,,Positif
x69569409,"@atinaintan Bayik mintanya dipeluk digendong mulu tun, manja bgt kalo abis vaksin",Bandung,Positif
x140758182,"Eh ada deng yg ngobrol lebih banyak perkara vaksin hepatitis. Segala merk vaksinnya, report di buku, disuntik sebelah mana. Ini w bete bgt soalnya dia bawel padahal pasien w lg banyak. W gatau kalo dia msh bocah hahaha soalnya badan gede duwur. Pantesan bawel banyak nanya <U+0001F923>",,Positif
x278093980,"@abdulghanoo Teu butuh vaksin, butuhna duidddddd","Bandung, Indonesia",Positif
x966697491147010048,@PenjahatGunung Terus cewe kalo pake vaksin gimana?,"Palembang, Indonesia",Positif
x116984815,"@ernestprakasa @jokowi Mas, waktunya ditentukan BPOM, ga bisa dipercepat atau diperlambat, ada aturan. Dokter tidak boleh diskriminasi dalam memberi layanan kesehatan sesuai sumpah dokter. Mau dia percaya atau tidak, bukan dasar pemberian vaksin.","Palembang, Indonesia",Positif
x828575440818221058,@choiyunoo @treasuremembers suntik vaksin dulu lo ye ga @dannyjolo,"bandung, Indonesia",Positif
x1070650033601622016,"tebak harga vaksin mandiri, open bid: 2juta",,Negatif
x275462876,"Aku dah cek MYEG, belum ada jual vaksin. Nanti boleh hantar ke rumah macam road tax ka? Nak cucuk pakai apa? Jarum peniti?",Malaysia,Negatif
x798849492514525184,@amaksehat nomer 4 cok. pokona kalo terpilih vaksin eundeu gratis untuk masyarakat kbb,BDG,Positif
x966117497219948544,beli vaksin waktu 12.12 biar murah,Indonesia,Positif
x1264516741339602944,"@Reciss @nuoyies FAK DEPOK MAU DI VAKSIN, ITU VAKSIN TITAN KALI YA",Bouk,Negatif
x1127765164919382016,"Menarik nih kandidat vaksin COVID berbasis tanaman yang lagi dikembangkan Medicago Canada (anak usaha mitsubishi tanabe) dan GSK, serta Philip Morrisâ€”ikut mendanai penelitian.",Indonesia,Positif
x2602027676,@dyslexiac udahlah lish kita kalo vaksin udh ada staycation di bali aja merenung <U+0001F643>,,Positif
x41114382,@zamirmohyedin @Fahmibinhassan @KKMPutrajaya belum tentu lagi. sat lagi dia keluar fakta vaksin tu ada nano chip untuk mengawal fikiran kita. tunggu je.,Malaysia,Positif
x3590539335,@VIVAcoid Biar vaksin laku x ya,kalimantan,Positif
x548413784,@manchaq @Fahmibinhassan Vaksin bukan ubat sembuh.,,Positif
x1327247525145821187,@eko63691 @MaspiyuO Mas nya kayk udh kbyakn mkan daging vaksin ne.makanya pikiranya kebalik<U+0001F643>,,Negatif
x1327247525145821187,"@ernestprakasa @jokowi iy,Gk d kasi jg gk ap,kasi aj sm org yg dekat2 sm pmrntah aj.kalu bs para koruptor di prioritas d kasi tu vaksin.klau kita mah yg prioritas perut aj biar gk lapar,gk perlu obat klau perut lapar.<U+0001F62D><U+0001F62D>",,Positif
x1300953137113526273,"@501Awani Boleh... tapi dia kena uji selepas itu. Beri dia vaksin dahulu lepas tu kawan kan dia dengan pesakit covid 19. Kalau dia kebal maka vaksin berjaya. Kalau tak mahu diuji, saja-saja nak tunjuk hero, baik tak usah mengarut aje.",,Positif
x580717077,Menteri berkaitan ada jawab ke kenapa bagi kontrak vaksin covid-19 ke MyEG? Kenapa harga Pfizer masuk bawah NDA?,Kenduri Teh Gila,Negatif
x166851069,@eggszma Selalu ada persaingan pasar bahkan untuk vaksin yang sifatnya emergensi dan universal. <U+0001F926><U+200D><U+2642><U+FE0F>,,Positif
x126618416,"@ernestprakasa @jokowi Setuju, yang pertama di vaksin para pejabat sama artis artis yang percaya banget vaksin itu segalanya. Setelah beberapa taun boleh lah kalo gak ada efek apa apa ngasih sama yang gak percaya. Tapi catet, saya percaya covid itu ada.",Anywhere But Here,Positif
x71069268,"@kompascom Klo nanti berbayar boleh milih kan ya, mau vaksin merek apa...",Indonesia,Positif
x1423686774,"Sorry gue bener2 pengen tau tanggepan kalian aja.



Kalo kalian harus di vaksin covid mau ga kalian? 

Alasannya? 



#",,Positif
x4638124777,"@ernestprakasa @jokowi kok gue malah ngeri ya di vaksin, takut aja gitu","Jakarta Selatan, DKI Jakarta",Positif
x937509986556559360,"@brgsjks Tadi terbaca mana tah... Dia kata vaksin ni bukan punca kematian. Bilangan mati tu normal, sama mcm kes covid biasa (tanpa vaksin), ada je kes org mati. Dlm 6 org mati tu ada yg mati sebab serangan jantung, berkait dgn faktor umur juga, lagi tua lagi berisiko tuk mati.",,Negatif
x60238125,"@rizqasyahw Tolong pastikan aman ya tante, kadonya vaksin buat kami sekeluarga boleh kok hahaha","-7.867823,110.15142",Positif
x246687494,@aisiyahdisri Pernah kak malah sebelum vaksin.. lemes bangettt.. tiap tengah malem aku bangun nyuapin dia makan.. iya kak ussi ud vaksin lengkap harus lebih kuatt.. minum vitamin ya kak..,"ÃœT: 3.6289599,98.6816589",Positif
x4189279038,"saya bukan lah antivaks atau flat earth atau yg sewaktu dgnnya......



tapi saya rasa.... ada sesuatu kandungan dlm vaksin atau shots...



samada ada gelatin babi... atau sel babi..... mcm kopi ali cafe dulu pernah kantoi ada dna babi dlm bahan..... cara mrk nak rosakkan umat



Kah!",,Positif
x1210175190098800641,@ernestprakasa @jokowi Setuju. Semoga koh Ernest masuk urutan 10 terdepan yang dapet vaksin terbaru. Amin!,Z - D,Positif
x139251544,@detikfinance Sekali lagi vaksin bukan peluru perak,Negeri Tanpa Telinga,Positif
x1325003524996911104,@qorygore Di kasih vaksin agar mengurangi ngimeng 2 kuintal,,Positif
x1149951007,@Fahmibinhassan @KKMPutrajaya Alhamdulillah. Pakar dah jelaskan. Terciduklah pendukung anti-vaksin.,"Shah Alam, Selangor, Malaysia",Positif
x1316268384456073216,@susipudjiastuti Bu Susi mau vaksin pertama ga?,,Negatif
x1117802662127230976,aku baru tahu dalam vaksin tu nanti ada cip,,Negatif
x985176155773747200,@apanakdikato Yg sorg tu dah dpt vaksin ka? Tny ja.,Malaysia,Negatif
x2774972886,@manchaq @Fahmibinhassan Vaksin tu mencegah bukan ubat menyembuh,,Positif
x1010048651115106305,"@rsikhwandia hahaha tapi aku sih tetep hidup seperti biasa berharapnyaaa, asal kalo ga vaksin tetep bisa kemana2 tanpa syarat surat",,Positif
x781340274752491520,@ernestprakasa @jokowi Gua kagak di vaksin nda papa.. Asal jangan aja di judge. Tapi INDONESIA aneh.. Beneran aneh kayak Pemerintahne,"Boyolali, Indonesia",Positif
x91288598,"@Fahmibinhassan Boleh tau dari 19,000 penerima vaksin, brp yg dh sembuh sepenuhnya?",,Positif
x183068399,@bukanpalawang Ga pake vaksin juga bisa sembuh ko kayaknya mah. Wqwqwqwq,Indonesia,Positif
x992595402380656641,"@kochengfess Panjang ya<U+0001F923> ya begitulah cerita kucing2 ku kena panleu ini, yg dri awal aku gatau ada virus panleu samlai akhirnya selalu was2.



Sebelumnya 3 kucing ku yg kena panleu belum vaksin, jadi lebih susah buat lawan virus nya...dan skrng kitten2 nya udh hampir 5 bulan dan sdh vaksin...",,Positif
x858958090447732736,@hasmi_bakhtiar @MaspiyuO Indonesia beli nya vaksin cina,"DKI Jakarta, Indonesia",Positif
x85495565,"@LisaAmartatara3 Lebih laknat anda Lisa yg tega2nya buat vaksin palsu lalu diedarkan ke bayi2 dan anak2 kecil, demi memenuhi nafsu duniawimu. Biadab.",Indonesia,Positif
x1090927209173282816,@ernestprakasa @jokowi Vaksin prioritas untuk para pejabat. Biar masyarakat mengikuti menggunakan vaksin,,Negatif
x1458545648,Bayangkan kau allergic dengan vaksin covid19.. Fuh..,FHSR,Positif
x287160985,"@medicalsherry @ayamgoreng28 @Syarman59 Dan maaf mbak. 

Gw sih g percaya sama vaksin itu.

Knapa ?

Karena virus penyakit yg bisa njangkit seseorang smpai lbh dr sekali itu ap bisa dibuat vaksinya ?

Knapa penyakit flu biasa g dibuatin vaksin sekaligus?

Apa bedanya covid sama flu .

Flu biasa juga mematikan bagi org trntu",Kutub,Positif
x1181769383510605827,"udah dibuat panik sama pandemi yang ga ujung kelar, belum lagi soal vaksin, ada lagi huru hara ini itu, bukannya apatis atau ga peduli sama keadaan, tapi coba tanya sama diri sendiri apa yang sekarang lagi dirasa?","Kota Serang, Banten",Positif
x1201132583234334720,@chareezeluen @txtdarihaikyuu_ kamu diem atau aku vaksin titan,Bali<U+0001F308>,Negatif
x286203867,@fpciuii lu mau pake vaksin ga min?,,Negatif
x811190218850058240,"@maskusumo @LisaAmartatara3 @prabowo @Dahnilanzar Biadab....

Vaksin kok palsu...

Brapa nyawa jadi taruhanny..?

Bgmn masa depan anak2nya..?

Orang kaya gini kok didengerin...","DKI Jakarta, Indonesia",Negatif
x35948314,"the whole new world sih ngerescue kucing ini buat daku &amp; mas suamik @handal_p. krn kebetulan Toru kata vet nya uda umur 2thn &amp; lagi doyan spraying, kemungkinan setelah sembuh mau ku vaksin lalu ku steril. demi kenyamanan &amp; kedamaian dunia perkucingan dirumah",around you,Negatif
x230983571,@CikHaf @aidilarazak Bulih tu jual banyak vaksin lagi. <U+0001F4B7>,Kuala Lumpur,Positif
x1270581582500229120,"Santa nya di vaksin dulu donk, keburu nga?",,Negatif
x262497958,jangan sampe vaksin covid ada tulisan mindless titan,"Yogyakarta, Indonesia",Negatif
x1175396421517762562,Gold fase koreksi terus sampai ada kejelasan stimulus US. Tapi indeks saham futures naik. Mungkin masih efek dari progress vaksin. Sedikit memperhitungkan stimulus US,,Negatif
x1223436148304797699,"2. Sistem distribusi vaksin ke daerah, begitu juga peralatan pendukung, sumber daya manusia (SDM), dan tata kelola vaksinasi harus dipersiapkan dengan baik.","Tarakan, Kalimantan Utara",Positif
x1223436148304797699,"1. Seluruh prosedur harus dilalui dengan baik, dalam rangka menjamin kesehatan dan keselamatan masyarakat serta efektivitas vaksin.","Tarakan, Kalimantan Utara",Positif
x1223436148304797699,"Tahukah Sobwas, vaksin yang diproduksi secara massal melewati proses panjang dan harus memenuhi empat syarat yaitu aman, ampuh, stabil, dan efisien dari segi biaya.","Tarakan, Kalimantan Utara",Positif
x1223436148304797699,"1,2 Juta Dosis Vaksin COVID-19 Tiba

#Repost @bpkp_id

â€”â€”â€”

Sebanyak 1,2 juta dosis vaksin COVID-19 buatan Sinovac yang telah diuji secara klinis di Bandung, sejak Agustus 2020 yang lalu, telah tiba di Bandara Udara Soekarno-Hatta (6/12)","Tarakan, Kalimantan Utara",Positif
x1289178088333389824,@susipudjiastuti Kenapa bangsa ini sudah impor ya....dan kemarin tuh Presiden begitu bangganya...karena pesawat Garuda sudah angkut vaksin dari Tiongkok.,,Negatif
x1276289832596017152,"Dulu engga maen sama anak-anak tetangga karena engga punya tamiya.



Sekarang engga maen sama anak-anak tetangga karena engga mampu beli vaksin.",,Negatif
x329959918,"@tweetsfromcurry Masih dong, torang tetap wfh sampe ada vaksin yg terbukti efektif



Cuman siap2 panggilan voor urusan urgent, makanya wajib stand by di jkt. Maar ini jarang skali, so 3 bulanan kerja baru 2 kali dapa suruh k kantor <U+0001F601>",Jakarta Capital Region,Positif
x61776068,"Dalam 2-3 bulan kedepan, jika diberi kesempatan divaksinasi COVID gratis, kalian memilih vaksin atau engga?",Indonesia,Positif
x1322511039745851394,"@schfess Aku daring materinya ga masuk otak sama sekali. Bingung juga ngerjainnya gmn, sempet dimakiÂ² guru garaÂ² dikira males padahal aku punya depresi sm anxiety parah. Kalau offline badan aku yang ga kuat, aku punya asma takutnya kena cororong. Dapet vaksin aja gaboleh apalagi dateng.",,Positif
x1277191989121830913,@Maung_Ryokei maung mau di vaksin?,isekai,Negatif
x58189007,"Kenapa ngga bikin yg nyoblos dapet vaksin, atau bikin kampanye kalo menang dapet vaksin.",,Positif
x1230874298459422720,@kompascom Jumlah penduduk 9 juta. Stock vaksin 14 juta. Kaya juga ya israel,,Negatif
x1330912282939858953,"@detikcom Dikasih libur sehari aja begini. Bagaimana nanti tar libur natal tahun baru. <U+0001F648><U+0001F648>



Tahan diri, abis vaksin baru jalan2.



Kasian nakes.",,Positif
x1132233980189716480,@brgsjks ni vaksin mempercepatkan kematian,saya kat sini la,Negatif
x873127705138520064,@Ihsan38907793 Sama. Makanya lucu kalo justru malah org2 yg ga percaya covid tapi duluan ngantri vaksin.,"Jakarta Capital Region, Indonesia",Negatif
x1046642545558573056,"@LisaAmartatara3 HIDUP MU PENUH KEPALSUAN, SELAIN VAKSIN PALSU JUGA BANDAR HOAX NDUK NDUK..!!



NYARI MAKAN YG BENER, APA2 KOK SERBA PALSU!!",,Positif
x1175610257965379585,@WinDyah_727 @LisaAmartatara3 Ratu vaksin palsu kena hoax,,Positif
x2239905758,@ernestprakasa @jokowi Bodo amat yg terakhir juga.. Ga di vaksin juga malah seneng...<U+0001F602>,"Jawa Barat, Indonesia",Negatif
x308528996,"outcome sinovac seperti di atas kurang lebih sama dengan vaksin lainnya yang lebih dulu rilis fase 3.



mohon sebisa mungkin apa yang kita ucapkan meminimalisasi risiko merebaknya antivax lebih jauh, termasuk potensi resistensi terhadap vaksin dari tiongkok.",United Kingdom,Positif
x1257865751236509701,"@ernestprakasa @jokowi Tolong banget sih inimah tolong... Bisa diduluin dlu ga diruncingin lagi vaksin buat para kecebong duluan. <U+0001F64F> Yg jelas kita ga maruk kok klo berhasil atau gagal <U+0001F923> gagal mokat, berhasil jg nyembah pemerintaha yg udh somplak. <U+0001F606>, gada bnr nya lu bomg di indo",persembunyian bajer kalacibing,Positif
x1257865751236509701,@ernestprakasa @jokowi Dikira nya vaksin itu savior wkwkwk. Mohon untuk disegerakan buat mereka yg ngebet sehat dengan kebagian vaksin yg belum kelar uji klimis nya. Ya gpp lah itung2 kelinci percobaan gratisan <U+0001F923>,persembunyian bajer kalacibing,Negatif
x67658336,@IamLadyHana Sebab nak lakukan vaksin la. Elite Dah invest kot.,"Kuala Terengganu, Terengganu",Positif
x136719389,Negara-negara lain udah mulai pada suntik vaksin. Di sini masih lebih pentingin pilkada <U+0001F602>,"Jakarta, Indonesia",Negatif
x829554499157057536,"@Penol86 @erwinarnada Soon Opa...Vaksin lagi trial mdh2an bagus hasilnya ya.



Skrg bbq sama dedek dulu di rumah.","Jakarta Timur, DKI Jakarta",Positif
x1011984956652843009,"@ZOO_FESS Bangunin nder, paksa buat makan. Kucingku dulu pas habis vaksin sama pas lg sakit gitu maunya tidur terus, makan kalo gak disuapin jg gamau makan",,Positif
x1285998988068450304,"@markeuwou My wish for last years 

1. Vaksin bisa segera lolos BPOM

2. Semua yang sakit bisa segera sembuh

3. Semua yang ujian atau skripsi bisa segera lulus yang tahun depan ikut utbk snmptn mandiri dsb bisa lulus amin 

4. Bisa rayain natal sama keluarga",,Positif
x1335685709475139585,Semoga vaksin ga di korup juga,"Tangerang, Indonesia",Positif
x124962583,@GoDisko Tapi apa gak seram ya vaksin di Indo? Saya cuman takut handlingnya aja. Orang sini kan biasa ceroboh <U+0001F630>,,Negatif
